Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,17/11/2024 16:04:30,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""en ejecución""."
Advertencia,17/11/2024 16:04:27,Microsoft-Windows-HttpEvent,15301,Ninguno,Configuración de certificado SSL creada por un proceso de admin. para el extremo: [::]:5990.
Advertencia,17/11/2024 16:04:27,Microsoft-Windows-HttpEvent,15301,Ninguno,Configuración de certificado SSL creada por un proceso de admin. para el extremo: 0.0.0.0:5990.
Información,17/11/2024 16:04:26,Microsoft-Windows-HttpEvent,15007,Ninguno,Se agregó correctamente una reserva de espacio de nombres identificado por el prefijo URL https://*:5990/.
Información,17/11/2024 16:04:26,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Instalador de módulos de Windows se cambió de inicio automático a inicio por solicitud.
Información,17/11/2024 16:04:26,Service Control Manager,7036,Ninguno,"El servicio Proveedor de instantáneas de software de Microsoft entró en estado ""en ejecución""."
Información,17/11/2024 16:04:26,Service Control Manager,7036,Ninguno,"El servicio Instantáneas de volumen entró en estado ""en ejecución""."
Información,17/11/2024 16:04:23,Service Control Manager,7036,Ninguno,"El servicio Windows Standards-Based Storage Management entró en estado ""detenido""."
Información,17/11/2024 16:03:55,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Instalador de módulos de Windows se cambió de inicio por solicitud a inicio automático.
Información,17/11/2024 16:03:53,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""en ejecución""."
Información,17/11/2024 16:02:55,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 15:58:36,Service Control Manager,7036,Ninguno,"El servicio Ayudante para el inicio de sesión de cuenta Microsoft entró en estado ""detenido""."
Información,17/11/2024 15:58:35,Service Control Manager,7036,Ninguno,"El servicio Servicio de transferencia inteligente en segundo plano (BITS) entró en estado ""detenido""."
Información,17/11/2024 15:58:35,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.
Información,17/11/2024 15:57:17,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""detenido""."
Información,17/11/2024 15:56:05,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""detenido""."
Información,17/11/2024 15:55:08,Service Control Manager,7036,Ninguno,"El servicio Ayudante para el inicio de sesión de cuenta Microsoft entró en estado ""en ejecución""."
Información,17/11/2024 15:55:06,Service Control Manager,7036,Ninguno,"El servicio Instalador de módulos de Windows entró en estado ""en ejecución""."
Información,17/11/2024 15:54:43,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""detenido""."
Información,17/11/2024 15:54:42,Service Control Manager,7036,Ninguno,"El servicio Servicio de usuario del portapapeles_ef01e entró en estado ""en ejecución""."
Información,17/11/2024 15:54:42,Service Control Manager,7036,Ninguno,"El servicio Administrador de configuración de dispositivos entró en estado ""detenido""."
Información,17/11/2024 15:54:41,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) entró en estado ""en ejecución""."
Advertencia,17/11/2024 15:54:34,User32,1076,Ninguno,"El motivo facilitado por el usuario WIN-1I8FL1H3DE7\Administrador para el último apagado inesperado del equipo es el siguiente: Otros (no planeado)
Código de motivo: 0xa000000
 Id. del problema: 
 Cadena de comprobación de errores: 
 Comentario: 
"
Información,17/11/2024 15:54:32,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""en ejecución""."
Información,17/11/2024 15:54:25,Service Control Manager,7036,Ninguno,"El servicio Servicio FrameServer de la Cámara de Windows entró en estado ""detenido""."
Información,17/11/2024 15:54:25,Service Control Manager,7036,Ninguno,"El servicio Monitor del servidor de marco de la Cámara de Windows entró en estado ""detenido""."
Información,17/11/2024 15:54:13,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Advertencia,17/11/2024 15:54:13,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Iniciar Local para la aplicación de servidor COM con CLSID 
{21B896BF-008D-4D01-A27B-26061B960DD7}
 y APPID 
{03E09F3B-DCE4-44FE-A9CF-82D050827E1C}
 al usuario WIN-1I8FL1H3DE7\Administrador con SID (S-1-5-21-3913609670-1573943343-4193902504-500) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Información,17/11/2024 15:54:13,Service Control Manager,7036,Ninguno,"El servicio Servicio de repositorio de estado entró en estado ""en ejecución""."
Información,17/11/2024 15:54:11,Service Control Manager,7036,Ninguno,"El servicio Servicio de Panel de escritura a mano y teclado táctil entró en estado ""en ejecución""."
Información,17/11/2024 15:54:11,Service Control Manager,7036,Ninguno,"El servicio Administrador de cuentas web entró en estado ""en ejecución""."
Información,17/11/2024 15:54:10,Service Control Manager,7036,Ninguno,"El servicio Servicio de usuario de plataforma de dispositivos conectados_ef01e entró en estado ""en ejecución""."
Información,17/11/2024 15:54:10,Service Control Manager,7036,Ninguno,"El servicio Servicio de usuario de notificaciones de inserción de Windows_ef01e entró en estado ""en ejecución""."
Información,17/11/2024 15:54:09,Microsoft-Windows-Winlogon,7001,(1101),Notificación de inicio de sesión de usuario para el Programa para la mejora de la experiencia del usuario
Información,17/11/2024 15:53:55,Service Control Manager,7036,Ninguno,"El servicio Servicio FrameServer de la Cámara de Windows entró en estado ""en ejecución""."
Información,17/11/2024 15:53:55,Service Control Manager,7036,Ninguno,"El servicio Monitor del servidor de marco de la Cámara de Windows entró en estado ""en ejecución""."
Información,17/11/2024 15:53:55,Service Control Manager,7036,Ninguno,"El servicio Administrador de configuración de dispositivos entró en estado ""en ejecución""."
Información,17/11/2024 15:53:55,Service Control Manager,7036,Ninguno,"El servicio Servicio Administrador de funcionalidad de acceso entró en estado ""en ejecución""."
Información,17/11/2024 15:53:54,Microsoft-Windows-Kernel-Power,566,(268),"La sesión del sistema ha pasado de 1 a 3. 

motivo: 4"
Información,17/11/2024 15:52:35,Service Control Manager,7036,Ninguno,"El servicio Servicio de detección automática de proxy web WinHTTP entró en estado ""en ejecución""."
Información,17/11/2024 15:49:36,Service Control Manager,7036,Ninguno,"El servicio Host de sistema de diagnóstico entró en estado ""detenido""."
Información,17/11/2024 15:44:59,Service Control Manager,7036,Ninguno,"El servicio Servicio de detección automática de proxy web WinHTTP entró en estado ""detenido""."
Información,17/11/2024 15:38:07,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 15:37:36,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 15:27:27,Service Control Manager,7036,Ninguno,"El servicio Windows Installer entró en estado ""detenido""."
Información,17/11/2024 15:22:28,Service Control Manager,7036,Ninguno,"El servicio Host de sistema de diagnóstico entró en estado ""en ejecución""."
Información,17/11/2024 15:22:27,Service Control Manager,7036,Ninguno,"El servicio Windows Installer entró en estado ""en ejecución""."
Información,17/11/2024 15:17:40,Microsoft-Windows-Kernel-Power,566,(268),"La sesión del sistema ha pasado de 0 a 1. 

motivo: 4"
